0.0039	1
0.0043	0.948831
0.0048	0.904508
0.0052	0.866988
0.0056	0.834546
0.0061	0.806163
0.0065	0.779179
0.0069	0.756163
0.0073	0.735479
0.0078	0.716768
0.0082	0.699742
0.0086	0.684171
0.0091	0.669862
0.0095	0.656659
0.0099	0.642032
0.0104	0.630302
0.0108	0.619359
0.0112	0.609122
0.0117	0.599518
0.0121	0.590488
0.0125	0.581976
0.0129	0.573937
0.0134	0.566329
0.0138	0.559116
0.0142	0.552266
0.0147	0.545749
0.0151	0.539541
0.0155	0.533618
0.0160	0.527959
0.0164	0.522547
0.0168	0.517363
0.0172	0.512393
0.0177	0.507623
0.0181	0.503039
0.0185	0.498631
0.0190	0.494388
0.0194	0.48735
0.0198	0.483263
0.0203	0.479316
0.0207	0.475503
0.0211	0.471816
0.0216	0.468248
0.0220	0.464794
0.0224	0.461448
0.0228	0.458203
0.0233	0.455056
0.0237	0.452001
0.0241	0.449035
0.0246	0.446152
0.0250	0.44335
